name,slug,category,subcategory,description,mrp,price,sku,stock,image_urls
Money Plant (Pothos),money-plant-pothos,Indoor Plants,,Easy-care air-purifying vine perfect for beginners. Grows well in low light.,499,349,PTH-001,50,pothos1|pothos2
Snake Plant (Sansevieria),snake-plant-sansevieria,Indoor Plants,,Low-light tolerant excellent air purifier. Perfect for bedrooms.,999,749,SNS-001,30,sansevieria1
Peace Lily,peace-lily,Indoor Plants,,Beautiful white flowers and air-purifying properties. Easy to care for.,799,599,PLY-001,25,peace-lily1
Spider Plant,spider-plant,Indoor Plants,,Fast-growing with baby plantlets. Great for hanging baskets.,399,299,SPD-001,40,spider-plant1
Rubber Plant,rubber-plant,Indoor Plants,,Large glossy leaves. Perfect statement plant for living rooms.,1299,999,RBR-001,15,rubber-plant1
ZZ Plant,zz-plant,Indoor Plants,,Extremely low maintenance. Survives with minimal watering.,899,699,ZZP-001,35,zz-plant1
Aloe Vera,aloe-vera,Indoor Plants,,Medicinal plant with healing properties. Easy to grow.,299,199,ALV-001,60,aloe-vera1
Jade Plant,jade-plant,Indoor Plants,,Succulent that brings good luck. Perfect for office desks.,499,349,JDP-001,45,jade-plant1
Rose Plant (Red),rose-plant-red,Outdoor Plants,,Classic red roses. Perfect for gardens and balconies.,599,449,ROS-001,20,rose-red1
Marigold (Orange),marigold-orange,Outdoor Plants,,Bright orange flowers. Easy to grow from seeds.,199,149,MAR-001,80,marigold1
Sunflower,sunflower,Outdoor Plants,,Tall bright yellow flowers. Great for garden borders.,299,199,SNF-001,30,sunflower1
Hibiscus (Red),hibiscus-red,Outdoor Plants,,Large red flowers. Perfect for tropical gardens.,799,599,HIB-001,25,hibiscus1
Bougainvillea,bougainvillea,Outdoor Plants,,Colorful flowering vine. Great for walls and trellises.,1299,999,BGV-001,15,bougainvillea1
Jasmine,jasmine,Fragrant Plants,,Highly fragrant white flowers. Perfect for evening gardens.,699,499,JSM-001,35,jasmine1
Lavender,lavender,Fragrant Plants,,Purple fragrant flowers. Great for aromatherapy.,599,449,LAV-001,40,lavender1
Rosemary,rosemary,Fragrant Plants,,Aromatic herb with culinary uses. Easy to grow.,399,299,RSM-001,50,rosemary1
Mint Plant,mint-plant,Fragrant Plants,,Fresh mint leaves for cooking and drinks. Fast growing.,199,149,MNT-001,60,mint1
Basil Plant,basil-plant,Fragrant Plants,,Fresh basil for Italian cooking. Easy to maintain.,249,179,BSL-001,45,basil1
